iter	Logloss
180	0.4852015919
181	0.485153871
182	0.4850996408
183	0.4850577093
184	0.485018447
185	0.4849794052
186	0.4849426347
187	0.4848997113
188	0.4848162517
189	0.4847963946
190	0.4847653568
191	0.4847226466
192	0.4846824863
193	0.4846331397
194	0.4845842151
195	0.4845396191
196	0.4845031183
197	0.4844618672
198	0.4844223759
199	0.4843785279
200	0.4843501462
201	0.4842447671
202	0.4842144841
203	0.4841715172
204	0.4841205327
205	0.4840970451
206	0.484058425
207	0.4840108015
208	0.4839722202
209	0.4839224175
210	0.4838701667
211	0.4838181508
212	0.4837887201
213	0.4837416412
214	0.4836974764
215	0.4836666612
216	0.4836189016
217	0.483591326
218	0.4835512136
219	0.4835187914
220	0.4834724633
221	0.4834284215
222	0.483393763
223	0.4833591167
224	0.4833111541
225	0.4832679001
226	0.4832168461
227	0.4831848869
228	0.4831423676
229	0.4831026581
230	0.4830610979
231	0.4830329462
232	0.4829808583
233	0.4829379423
234	0.4829027526
235	0.4828497929
236	0.4828168394
237	0.4827730896
238	0.4827350325
239	0.4827144291
240	0.4826865259
241	0.4826456912
242	0.4825865494
243	0.4825466271
244	0.4825195102
245	0.4824595811
246	0.4824192881
247	0.4823775452
248	0.4823335266
249	0.4822873196
250	0.4822499045
251	0.4822127438
252	0.4821747921
253	0.4821456752
254	0.482101514
255	0.4820725676
256	0.4820302941
257	0.4819663805
258	0.481921581
259	0.4818667818
260	0.4818079274
261	0.4817535916
262	0.4817056456
263	0.4816680987
264	0.4816263323
265	0.4815884994
266	0.4815545903
267	0.4815053729
268	0.4814689639
269	0.4814144202
270	0.4813649601
271	0.4813310334
272	0.4812980282
273	0.4812616578
274	0.4812234126
275	0.4811746122
276	0.481141567
277	0.4811021422
278	0.4810555853
279	0.4810197754
280	0.480989559
281	0.4809497321
282	0.4809049155
283	0.480856313
284	0.4808170682
285	0.4807731955
286	0.4807447445
287	0.4807135094
288	0.4806633673
289	0.4806237549
290	0.4805968771
291	0.4805323982
292	0.4804754866
293	0.4804421703
294	0.4804119042
295	0.4803742117
296	0.4803402926
297	0.4802853477
298	0.4802382011
299	0.4801948324
300	0.4801467544
301	0.4800985088
302	0.4800662865
303	0.4800191509
304	0.4799808813
305	0.4799222496
306	0.4798881213
307	0.4798302159
308	0.4797971863
309	0.4797611735
310	0.4796979135
311	0.4796635979
312	0.479634895
313	0.479590364
314	0.4795574801
315	0.4795097305
316	0.4794652047
317	0.4794152998
318	0.4793736006
319	0.479325535
320	0.4792871672
321	0.4792478516
322	0.4792046413
323	0.4791529074
324	0.4791077135
325	0.4790632414
326	0.4790177203
327	0.4789716417
328	0.47892858
329	0.4788933457
330	0.4788476744
331	0.4788078844
332	0.4787617892
333	0.4787230717
334	0.4786985307
335	0.4786664106
336	0.4786304949
337	0.4785753353
338	0.4785334399
339	0.4785043241
340	0.4784838962
341	0.4784425342
342	0.4784086887
343	0.4783733535
344	0.4783225856
345	0.4782783316
346	0.4782373452
347	0.4782090093
348	0.4781666544
349	0.4781290599
350	0.4780903834
351	0.4780409484
352	0.4780019212
353	0.4779670066
354	0.4779276345
355	0.4778749575
356	0.4778310219
357	0.4777936449
358	0.4777659907
359	0.4777305266
360	0.4777014654
361	0.4776637283
362	0.4776266331
363	0.4776033775
364	0.4775730273
365	0.4775367052
366	0.4774905495
367	0.4774568024
368	0.4774189264
369	0.4773736879
370	0.4773333252
371	0.4772827641
372	0.4772465829
373	0.4772010097
374	0.4771690622
375	0.4771281017
376	0.4770932245
377	0.4770655211
378	0.4770146059
379	0.4769775071
380	0.4769372412
381	0.4769059791
382	0.4768730636
383	0.4768188856
384	0.4767798541
385	0.4767429269
386	0.4767170772
387	0.4766876149
388	0.4766539386
389	0.4766211926
390	0.4765844878
391	0.4765344204
392	0.4764911999
393	0.4764626444
394	0.4764316623
395	0.476394751
396	0.4763585918
397	0.4763175782
398	0.4762777475
399	0.4762451645
